generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,3,1
3000,1,4,1
4000,1,4,1
5000,1,2,1
6000,2,3,1
7000,3,4,1
8000,2,3,1
9000,2,4,1
10000,1,3,1
11000,1,2,1
12000,2,3,1
13000,2,4,1
14000,2,4,1
15000,2,3,1
16000,1,2,1
17000,2,3,1
18000,1,4,1
19000,1,2,1
20000,3,4,1
21000,1,3,1
22000,1,2,1
23000,1,4,1
24000,2,3,1
25000,2,3,0
26000,1,3,1
27000,1,2,1
28000,3,4,1
29000,2,4,1
30000,2,4,1
31000,1,2,1
32000,1,3,1
33000,1,4,1
34000,2,4,1
35000,2,3,1
36000,2,3,1
37000,2,4,1
38000,1,2,1
39000,1,4,1
40000,2,4,1
41000,2,4,1
42000,2,3,1
43000,1,4,1
44000,1,4,1
45000,2,3,1
46000,1,2,1
47000,3,4,1
48000,2,4,1
49000,2,4,1
50000,1,2,1
51000,3,4,1
52000,1,4,1
53000,1,2,1
54000,3,4,1
55000,1,4,1
56000,2,3,1
57000,3,4,1
58000,1,3,1
59000,2,4,1
60000,3,4,1
61000,1,2,1
62000,2,4,1
63000,2,3,1
64000,1,3,1
65000,3,4,1
66000,1,4,1
67000,1,2,1
68000,2,3,1
69000,1,4,1
70000,1,4,1
71000,2,4,1
72000,1,4,1
73000,1,2,1
74000,3,4,1
75000,1,3,1
76000,1,2,1
77000,2,4,1
78000,3,4,1
79000,1,2,1
80000,2,3,1
81000,2,3,1
82000,1,3,1
83000,2,4,1
84000,3,4,1
85000,2,3,1
86000,1,3,1
87000,2,3,1
88000,1,2,1
89000,2,3,1
90000,3,4,1
91000,1,2,1
92000,1,2,1
93000,3,4,1
94000,1,3,1
95000,2,3,1
96000,1,3,1
97000,1,3,1
98000,2,3,1
99000,2,3,1
100000,1,4,1
101000,1,4,1
102000,1,2,1
103000,3,4,1
104000,3,4,1
105000,1,2,1
106000,1,3,1
107000,1,4,1
108000,1,4,1
109000,1,3,1
110000,2,4,1
111000,1,4,1
112000,1,2,1
113000,2,4,1
114000,2,3,1
115000,1,2,1
116000,2,4,1
117000,1,2,1
118000,1,4,1
119000,1,4,1
120000,3,4,1
121000,2,3,1
122000,2,4,1
123000,1,3,1
124000,1,3,1
125000,3,4,1
126000,3,4,1
127000,2,3,1
128000,2,3,1
129000,2,4,1
130000,3,4,1
131000,3,4,1
132000,3,4,1
133000,3,4,1
134000,1,4,1
135000,2,4,1
136000,2,4,1
137000,1,4,1
138000,1,3,1
139000,1,2,1
140000,1,4,1
141000,1,2,1
142000,1,4,1
143000,1,3,1
144000,3,4,1
145000,2,3,1
146000,2,4,1
147000,1,3,1
148000,1,3,1
149000,3,4,1
150000,3,4,1
151000,2,4,1
152000,1,3,1
153000,2,3,1
154000,1,3,1
155000,2,4,1
156000,1,3,1
157000,1,3,1
158000,1,2,1
159000,3,4,1
160000,2,3,1
161000,3,4,1
162000,1,2,1
163000,3,4,1
164000,2,3,1
165000,3,4,1
166000,1,3,1
167000,1,4,1
168000,1,4,1
169000,2,3,1
170000,1,4,1
171000,1,3,1
172000,1,2,1
173000,1,4,1
174000,1,2,1
175000,3,4,1
176000,1,2,1
177000,3,4,1
178000,2,4,1
179000,3,4,1
180000,1,3,1
181000,2,4,1
182000,1,4,1
183000,2,3,1
184000,1,2,1
185000,1,2,1
186000,2,4,1
187000,1,2,1
188000,2,3,1
189000,1,3,1
190000,2,4,1
191000,2,4,1
192000,2,4,1
193000,2,3,1
194000,1,2,1
195000,1,4,1
196000,2,4,1
197000,2,4,1
198000,2,3,1
199000,3,4,1
200000,1,2,1
201000,1,3,1
202000,1,2,1
203000,1,3,1
204000,3,4,1
205000,1,4,1
