generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Carcta,Carctiformis,0,0.032,0,0.005,0
1000,Carcta,Carctiformis,0,0.423618,0,0.0543742,0
2000,Carcta,Carctiformis,0,0.40427,0,0.182431,0
3000,Carcta,Carctiformis,0,0.357832,0,0.138135,0
4000,Carcta,Carctiformis,0,0.406481,0,0.140213,0
4000,Cbillingsii,Ctrisperma,4.68135,1.06024,0,0.911936,0
5000,Carcta,Carctiformis,0,0.394759,0,0.0318264,0
6000,Carcta,Carctiformis,0,0.400334,0,0.0478407,0
7000,Carcta,Carctiformis,0,0.296139,0,0.0216264,0
8000,Carcta,Carctiformis,0,0.435168,0,0.146473,0
9000,Carcta,Carctiformis,0,0.358704,0,0.153055,0
10000,Carcta,Carctiformis,0,0.4099,0,0.18218,0
11000,Carcta,Carctiformis,0,0.380225,0,0.0211696,0
12000,Carcta,Carctiformis,0,0.365916,0,0.0990497,0
13000,Carcta,Carctiformis,0,0.427199,0,0.193283,0
14000,Carcta,Carctiformis,0,0.416724,0,0.0807956,0
15000,Carcta,Carctiformis,0,0.390141,0,0.0544997,0
16000,Carcta,Carctiformis,0,0.38395,0,0.160277,0
17000,Carcta,Carctiformis,0,0.23902,0,0.0814485,0
18000,Carcta,Carctiformis,0,0.699437,0,0.454408,0
19000,Carcta,Carctiformis,0,0.29819,0,0.0117651,0
19000,Cillota,NA,6.42415,0.164048,0,0.724259,0
20000,Carcta,Carctiformis,0,0.519661,0,0.118609,0
21000,Carcta,Carctiformis,0,0.424486,0,0.0677134,0
22000,Carcta,Carctiformis,0,1.0033,0,0.760861,0
23000,Carcta,Carctiformis,0,0.384045,0,0.00553028,0
23000,Cpseudololiacea,NA,4.41673,0.252562,0,0.205182,0
24000,Carcta,Carctiformis,0,0.698355,0,0.40234,0
25000,Carcta,Carctiformis,0,0.398115,0,0.117275,0
26000,Carcta,Carctiformis,0,0.408625,0,0.0813549,0
27000,Carcta,Carctiformis,0,0.343294,0,0.0290597,0
28000,Carcta,Carctiformis,0,0.297053,0,0.00441061,0
28000,Cbrunnescens,NA,5.5768,0.100244,0,0.179482,0
29000,Carcta,Carctiformis,0,0.355562,0,0.0286701,0
30000,Carcta,Carctiformis,0,0.325442,0,0.000636029,0
31000,Carcta,Carctiformis,0,0.293962,0,0.00792841,0
32000,Carcta,Carctiformis,0,0.44085,0,0.0125523,0
33000,Carcta,Carctiformis,0,0.494367,0,0.0394229,0
34000,Carcta,Carctiformis,0,0.432375,0,0.203799,0
35000,Carcta,Carctiformis,0,0.426521,0,0.0568001,0
36000,Carcta,Carctiformis,0,0.367262,0,0.0924836,0
37000,Carcta,Carctiformis,0,0.393926,0,0.0216071,0
38000,Carcta,Carctiformis,0,0.279901,0,0.00366924,0
39000,Carcta,Carctiformis,0,0.334755,0,0.183042,0
40000,Carcta,Carctiformis,0,0.406065,0,0.141263,0
41000,Carcta,Carctiformis,0,0.423044,0,0.106268,0
42000,Carcta,Carctiformis,0,0.514487,0,0.165715,0
43000,Carcta,Carctiformis,0,0.36315,0,0.0142284,0
44000,Carcta,Carctiformis,0,0.390292,0,0.253434,0
45000,Carcta,Carctiformis,0,0.558833,0,0.341074,0
46000,Carcta,Carctiformis,0,0.370299,0,0.0557454,0
47000,Carcta,Carctiformis,0,0.385616,0,0.00488527,0
48000,Carcta,Carctiformis,0,0.542682,0,0.0487958,0
49000,Carcta,Carctiformis,0,0.386274,0,0.0481893,0
49000,Cheleonastes,NA,6.40001,1.69475,0,1.05034,0
50000,Carcta,Carctiformis,0,0.331165,0,0.0642493,0
51000,Carcta,Carctiformis,0,0.375688,0,0.0456307,0
52000,Carcta,Carctiformis,0,0.391421,0,0.120806,0
53000,Carcta,Carctiformis,0,0.658129,0,0.270927,0
54000,Carcta,Carctiformis,0,0.5179,0,0.057747,0
54000,Cpseudololiacea,NA,5.53927,0.824809,0,0.198011,0
55000,Carcta,Carctiformis,0,0.344174,0,0.0150572,0
56000,Carcta,Carctiformis,0,0.298204,0,0.0266536,0
56000,Cillota,NA,6.27408,0.209351,0,0.776651,0
56000,Cbillingsii,Ctrisperma,4.91898,0.878692,0,0.0329911,0
57000,Carcta,Carctiformis,0,0.445155,0,0.0512757,0
57000,Cpraeceptorum,NA,6.19052,1.02694,0,0.209624,0
58000,Carcta,Carctiformis,0,0.3988,0,0.0193325,0
58000,Cnemurensis,NA,6.20468,0.987502,0,1.3811,0
59000,Carcta,Carctiformis,0,0.458729,0,0.174129,0
60000,Carcta,Carctiformis,0,0.47511,0,0.122327,0
61000,Carcta,Carctiformis,0,0.286231,0,0.00966679,0
62000,Carcta,Carctiformis,0,0.391419,0,0.0828259,0
63000,Carcta,Carctiformis,0,0.460469,0,0.000539131,0
64000,Carcta,Carctiformis,0,0.381253,0,0.011286,0
65000,Carcta,Carctiformis,0,0.258128,0,0.00604631,0
66000,Carcta,Carctiformis,0,0.382884,0,0.042895,0
67000,Carcta,Carctiformis,0,0.421748,0,0.0337125,0
68000,Carcta,Carctiformis,0,0.488149,0,0.234489,0
69000,Carcta,Carctiformis,0,0.496678,0,0.00457152,0
70000,Carcta,Carctiformis,0,0.356281,0,0.0126258,0
71000,Carcta,Carctiformis,0,0.358765,0,0.0200717,0
71000,Cpseudololiacea,NA,5.60203,0.56428,0,0.200468,0
72000,Carcta,Carctiformis,0,0.457184,0,0.169454,0
73000,Carcta,Carctiformis,0,0.440184,0,0.0445003,0
73000,Cfurva,Cnewspecies,2.54799,0.0635765,0,0.321615,0
73000,Cfurva,Cnewspecies,4.54,0.264068,0,0.000328669,0
74000,Carcta,Carctiformis,0,0.393273,0,0.367794,0
75000,Carcta,Carctiformis,0,0.595904,0,0.236549,0
76000,Carcta,Carctiformis,0,0.422782,0,0.0688553,0
77000,Carcta,Carctiformis,0,0.346686,0,0.0231395,0
78000,Carcta,Carctiformis,0,0.486271,0,0.105707,0
79000,Carcta,Carctiformis,0,0.314509,0,0.0347086,0
80000,Carcta,Carctiformis,0,0.367423,0,0.0194594,0
81000,Carcta,Carctiformis,0,0.467685,0,0.19297,0
82000,Carcta,Carctiformis,0,0.356823,0,0.0790643,0
83000,Carcta,Carctiformis,0,0.293625,0,0.0468396,0
84000,Carcta,Carctiformis,0,0.388815,0,0.0898019,0
85000,Carcta,Carctiformis,0,0.328611,0,0.110007,0
86000,Carcta,Carctiformis,0,0.595521,0,0.100266,0
86000,Cfurva,NA,6.43279,1.95496,0,1.04649,0
87000,Carcta,Carctiformis,0,0.445669,0,0.0964471,0
88000,Carcta,Carctiformis,0,0.369323,0,0.0524653,0
88000,Cursina,NA,5.96999,0.00518354,0,0.523791,0
89000,Carcta,Carctiformis,0,0.429439,0,0.109098,0
89000,Cbrunnescens,Ckreczetoviczii,5.4189,1.38126,0,2.08246,0
90000,Carcta,Carctiformis,0,0.233989,0,0.105339,0
91000,Carcta,Carctiformis,0,0.397744,0,0.104012,0
92000,Carcta,Carctiformis,0,0.393522,0,0.064093,0
93000,Carcta,Carctiformis,0,0.341451,0,0.109371,0
94000,Carcta,Carctiformis,0,0.285089,0,0.0215152,0
94000,Cmackenziei,NA,6.08033,0.233612,0,0.643194,0
95000,Carcta,Carctiformis,0,0.279495,0,0.00233813,0
96000,Carcta,Carctiformis,0,0.564262,0,0.315382,0
97000,Carcta,Carctiformis,0,0.458945,0,0.0319078,0
98000,Carcta,Carctiformis,0,0.428946,0,0.0413988,0
99000,Carcta,Carctiformis,0,0.363866,0,0.00633197,0
100000,Carcta,Carctiformis,0,0.371026,0,0.0169048,0
101000,Carcta,Carctiformis,0,0.344168,0,0.00552193,0
102000,Carcta,Carctiformis,0,0.451838,0,0.000240628,0
102000,Carcta,NA,6.04357,0.743996,0,0.538235,0
103000,Carcta,Carctiformis,0,0.372836,0,0.110429,0
104000,Carcta,Carctiformis,0,0.374978,0,0.0363784,0
104000,Cfurva,NA,6.4375,1.01655,0,1.46353,0
105000,Carcta,Carctiformis,0,0.420874,0,0.0873625,0
106000,Carcta,Carctiformis,0,0.398637,0,0.0765995,0
107000,Carcta,Carctiformis,0,0.805457,0,0.486398,0
108000,Carcta,Carctiformis,0,0.291012,0,0.0236306,0
109000,Carcta,Carctiformis,0,0.500531,0,0.154104,0
110000,Carcta,Carctiformis,0,0.791055,0,0.449482,0
111000,Carcta,Carctiformis,0,0.619607,0,0.341431,0
112000,Carcta,Carctiformis,0,0.460379,0,0.012262,0
112000,Cdiastena,NA,5.7674,0.270207,0,2.53933,0
113000,Carcta,Carctiformis,0,0.47811,0,0.0992186,0
114000,Carcta,Carctiformis,0,0.316358,0,0.0404943,0
115000,Carcta,Carctiformis,0,0.388851,0,0.0297209,0
115000,Cbonanzensis,NA,5.0588,0.359872,0,1.06977,0
116000,Carcta,Carctiformis,0,0.38411,0,0.022435,0
117000,Carcta,Carctiformis,0,0.380442,0,0.0586108,0
118000,Carcta,Carctiformis,0,0.440174,0,0.0237146,0
119000,Carcta,Carctiformis,0,0.369271,0,0.00454681,0
120000,Carcta,Carctiformis,0,0.389735,0,0.126517,0
121000,Carcta,Carctiformis,0,0.295964,0,0.0301448,0
121000,Claeviculmis,NA,5.55446,0.101294,0,0.0649142,0
122000,Carcta,Carctiformis,0,0.341408,0,0.0261807,0
123000,Carcta,Carctiformis,0,0.471212,0,0.045205,0
124000,Carcta,Carctiformis,0,0.40215,0,0.142914,0
125000,Carcta,Carctiformis,0,0.504353,0,0.0331334,0
126000,Carcta,Carctiformis,0,0.228144,0,0.0085155,0
127000,Carcta,Carctiformis,0,0.373911,0,0.0242871,0
128000,Carcta,Carctiformis,0,0.462117,0,0.0364189,0
129000,Carcta,Carctiformis,0,0.508662,0,0.0741872,0
130000,Carcta,Carctiformis,0,0.640835,0,0.423728,0
131000,Carcta,Carctiformis,0,0.406608,0,0.0400367,0
132000,Carcta,Carctiformis,0,0.306605,0,0.0253201,0
133000,Carcta,Carctiformis,0,0.466549,0,0.0055643,0
133000,Ctraiziscana,NA,6.19775,0.396838,0,2.01106,0
134000,Carcta,Carctiformis,0,0.341793,0,0.0441001,0
135000,Carcta,Carctiformis,0,0.460791,0,0.153542,0
135000,Cbonanzensis,NA,6.45665,0.517396,0,0.140565,0
136000,Carcta,Carctiformis,0,0.502271,0,0.297456,0
137000,Carcta,Carctiformis,0,0.372425,0,0.134456,0
138000,Carcta,Carctiformis,0,0.392313,0,0.00599882,0
139000,Carcta,Carctiformis,0,0.444744,0,0.0145783,0
140000,Carcta,Carctiformis,0,0.203025,0,0.0135889,0
141000,Carcta,Carctiformis,0,0.473683,0,0.0713875,0
142000,Carcta,Carctiformis,0,0.339034,0,0.122378,0
143000,Carcta,Carctiformis,0,0.602304,0,0.0517005,0
143000,Carcta,Cillota,0.909793,0.287081,0,0.420509,0
143000,Cmarina,NA,6.07768,0.0128219,0,0.647266,0
144000,Carcta,Carctiformis,0,0.664328,0,0.0494986,0
144000,Cillota,NA,4.23328,0.342364,0,0.0804831,0
144000,Cbrunnescens,Ckreczetoviczii,2.91508,0.336733,0,0.165692,0
