generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.95594,-92.1087,1,0
1000,0,-2.05909,-53.5701,0.662161,0.376623
2000,0,-2.12599,-54.6042,0.620355,0.515
3000,0,-2.08203,-54.467,0.667128,0.427857
4000,1,-5.64423,-56.0293,1.28748,0.3415
5000,0,-1.72602,-53.2903,0.380494,0.4048
6000,0,-1.83563,-53.4021,0.468516,0.407
7000,0,-1.55519,-53.6822,0.318485,0.337
8000,0,-1.59086,-54.1549,0.0902839,0.382
9000,0,-1.53347,-54.6757,0.10277,0.446
10000,0,-1.58846,-54.5635,0.0774401,0.389761
11000,0,-1.34651,-53.1733,0.0261725,0.374714
12000,0,-1.49072,-53.8813,0.106814,0.321
13000,0,-2.42778,-54.6014,0.888355,0.365
14000,0,-1.5565,-53.6591,0.140044,0.374
15000,0,-1.52701,-53.4122,0.163433,0.381
16000,0,-1.69641,-54.488,0.233247,0.369
17000,0,-2.15833,-56.5595,0.918919,0.376
18000,0,-2.96515,-57.3775,0.892364,0.3698
19000,1,-3.819,-53.4997,0.782865,0.3571
20000,0,-2.19032,-54.772,0.633113,0.397
21000,0,-2.48431,-53.6322,1.07317,0.37025
22000,0,-2.70664,-61.1578,0.023545,0.37975
23000,1,-4.9597,-52.8544,2.2745,0.380875
24000,0,-2.87166,-57.2533,0.852028,0.508
25000,0,-1.71449,-53.922,0.280163,0.354
26000,0,-1.7233,-53.6352,0.314378,0.4292
27000,0,-1.52471,-53.2693,0.23342,0.398857
28000,1,-3.13822,-53.396,0.719156,0.435
29000,0,-1.37586,-53.219,0.0726931,0.365
30000,0,-1.34916,-53.0874,0.104139,0.342
31000,0,-1.41557,-53.5234,0.194743,0.3842
32000,0,-1.67972,-53.6629,0.307377,0.3729
33000,0,-1.91122,-54.4773,0.458497,0.394625
34000,0,-2.98057,-54.6953,1.42546,0.351
35000,0,-1.55255,-53.6014,0.150287,0.349
36000,0,-1.47531,-53.7985,0.096621,0.43
37000,0,-2.34118,-53.2348,1.0067,0.403
38000,0,-1.26275,-53.7124,0.060244,0.39975
39000,0,-1.69306,-55.6262,0.256321,0.408714
40000,0,-1.75038,-54.1336,0.284113,0.314
41000,0,-1.56655,-53.8405,0.1183,0.342
42000,0,-1.61087,-54.7459,0.0117265,0.364
43000,0,-4.77498,-53.0965,3.47866,0.383
44000,0,-2.03512,-55.8302,0.472453,0.3745
45000,0,-2.55117,-55.9168,0.732327,0.394
46000,0,-1.70563,-53.4227,0.360651,0.388222
47000,0,-1.5775,-53.11,0.268057,0.349
48000,0,-1.99684,-55.4127,0.48642,0.368
49000,1,-6.98197,-53.8459,1.96455,0.531
50000,0,-2.10119,-53.7754,0.786837,0.4146
51000,0,-1.49971,-53.334,0.159456,0.337
52000,0,-2.52129,-53.9782,1.09013,0.388667
53000,0,-1.94241,-56.7791,0.0944152,0.38575
54000,1,-5.50679,-55.3744,2.07045,0.432
55000,0,-2.59171,-53.1322,1.31354,0.396917
56000,2,-6.08887,-54.2944,1.10952,0.462
57000,1,-4.84085,-54.3369,1.26997,0.393
58000,1,-4.78836,-53.5867,0.163749,0.43575
59000,0,-2.02705,-54.4071,0.475251,0.394
60000,0,-1.62479,-54.2382,0.108413,0.351
61000,0,-1.54316,-53.6813,0.328322,0.410778
62000,0,-1.55894,-53.6268,0.165752,0.336
63000,0,-3.71153,-53.9701,2.33158,0.359
64000,0,-1.50357,-53.1208,0.192097,0.377714
65000,0,-3.12867,-54.2709,1.94556,0.318
66000,0,-1.88397,-53.3198,0.53925,0.387333
67000,0,-1.48217,-53.4837,0.107771,0.396688
68000,0,-2.29281,-54.926,0.651237,0.316
69000,0,-1.86822,-54.6412,0.448036,0.39075
70000,0,-2.6312,-53.0854,1.34335,0.3405
71000,1,-3.00828,-53.39,0.0268205,0.455
72000,0,-2.14293,-54.3698,0.597351,0.363
73000,2,-5.96196,-53.4307,2.07087,0.3895
74000,0,-1.7739,-58.0884,0.0938977,0.398
75000,0,-1.85201,-55.838,0.10062,0.3635
76000,0,-1.74638,-53.6268,0.3358,0.37475
77000,0,-1.51135,-53.1971,0.22259,0.361
78000,0,-1.73158,-54.3185,0.220658,0.365
79000,0,-1.50964,-53.5915,0.241485,0.367769
80000,0,-2.45519,-53.1367,1.14937,0.388
81000,0,-2.0071,-54.5663,0.427507,0.372
82000,0,-1.59722,-53.7176,0.242399,0.361857
83000,0,-2.08464,-54.1135,0.825232,0.338
84000,0,-2.27408,-53.6891,0.876522,0.377
85000,0,-1.54219,-54.4727,0.184631,0.363
86000,1,-8.57251,-56.9957,3.03739,0.3815
87000,0,-1.50169,-53.9021,0.0406326,0.459
88000,1,-5.04356,-53.802,2.25492,0.391667
89000,1,-7.63512,-54.2919,1.79498,0.351
90000,0,-3.01936,-57.4031,1.7611,0.362
91000,0,-1.46204,-53.8016,0.0413408,0.394077
92000,0,-1.48835,-53.4847,0.111793,0.375
93000,0,-1.4801,-54.2668,0.110336,0.315
94000,1,-4.755,-54.1832,1.73372,0.383143
95000,0,-1.57392,-53.7001,0.373153,0.425
96000,0,-2.41018,-55.7584,0.611599,0.3694
97000,0,-2.24921,-53.9154,0.839414,0.3605
98000,0,-1.42514,-53.5717,0.0358552,0.35
99000,0,-1.57296,-53.042,0.283824,0.328
100000,0,-1.95789,-53.1239,0.651022,0.368526
101000,0,-1.44458,-53.0478,0.175951,0.357
102000,1,-5.41435,-53.9251,1.84217,0.383667
103000,0,-2.12562,-53.9644,0.723417,0.43
104000,1,-5.73738,-53.5739,1.00807,0.42
105000,0,-1.88053,-53.7147,0.453358,0.405
106000,0,-1.95917,-53.5818,0.564996,0.3731
107000,0,-3.26599,-58.7066,1.0552,0.396429
108000,0,-1.23772,-53.8021,0.00413711,0.354
109000,0,-1.87363,-54.5734,0.300053,0.357
110000,0,-2.51035,-58.5612,0.350877,0.324
111000,0,-2.55568,-56.2767,0.675706,0.351429
112000,1,-6.22418,-54.5826,1.10412,0.3578
113000,0,-1.70938,-54.2133,0.21311,0.548
114000,0,-1.3536,-53.6442,0.0778061,0.391
115000,1,-3.87288,-53.7059,0.186781,0.360571
116000,0,-1.78061,-53.194,0.455132,0.371
117000,0,-1.55489,-53.435,0.196898,0.380167
118000,0,-1.98386,-53.6613,0.601036,0.4145
119000,0,-2.40646,-53.0412,1.1137,0.405
120000,0,-2.98382,-54.0456,1.54863,0.392
121000,1,-2.61599,-53.7702,0.285794,0.348
122000,0,-2.05918,-53.2506,0.772649,0.338
123000,0,-1.7762,-54.0895,0.340841,0.382286
124000,0,-1.6248,-54.1646,0.160798,0.3795
125000,0,-2.73303,-54.6832,1.27661,0.408
126000,0,-1.72462,-55.3556,0.569018,0.341
127000,0,-1.343,-53.1782,0.0258675,0.353
128000,0,-1.52666,-53.96,0.109189,0.373
129000,0,-1.72746,-54.6504,0.225668,0.364
130000,0,-2.18111,-56.8139,0.197605,0.341
